Crop,Cost ($/acre),Productivity (bu/acre),Productivity (cwt/acre),Productivity (lbs/acre),Return ($/bu),Return ($/cwt),Return ($/lb),
Corn,257.65,176.6,,,3.2,,,
Soybean,158.14,49.1,,,7.88,,,
Wheat,159.57,46.3,,,4.69,,,
Oat,119.38,61.7,,,2.32,,,
Barley,135.24,72.6,,,4.45,,,
Flaxseed,130.77,14.1,,,10.1,,,
Rye,225.65,33.9,,,4.75,,,
Peas,116.83,,1350,,,10.75,,
Beans,239.63,,1781,,,23.5,,
Canola,187.14,,,1558,,,0.21,
Sunflower,233.22,,,1613,,,0.36,
Hops,4000,,,1959,,,8,http://msue.anr.msu.edu/uploads/resources/pdfs/Estimated_Costs_of_Producing_Hops_in_Michigan_(E3236).pdf
